Query_ID,Num_Relevant,AP_VSM,P@20_VSM,Recall@20_VSM,AP_BM25,P@20_BM25,Recall@20_BM25
210,6,0.2778,0.1,0.3333,0.2778,0.1,0.3333
211,11,0.0634,0.2,0.3636,0.0461,0.15,0.2727
212,14,0.3742,0.35,0.5,0.4012,0.35,0.5
213,11,0.4812,0.4,0.7273,0.575,0.4,0.7273
214,4,0.125,0.05,0.25,0.0833,0.05,0.25
215,2,0.0,0.0,0.0,0.0333,0.05,0.5
216,1,0.0,0.0,0.0,0.0,0.0,0.0
217,15,0.0961,0.2,0.2667,0.2329,0.3,0.4
218,15,0.095,0.25,0.3333,0.2684,0.3,0.4
219,18,0.0278,0.05,0.0556,0.0,0.0,0.0
220,19,0.0279,0.15,0.1579,0.125,0.15,0.1579
221,18,0.1577,0.2,0.2222,0.196,0.25,0.2778
222,9,0.5306,0.3,0.6667,0.7519,0.4,0.8889
223,4,0.5417,0.15,0.75,0.5667,0.15,0.75
224,8,0.0228,0.1,0.25,0.1005,0.2,0.5
225,24,0.0799,0.15,0.125,0.0554,0.15,0.125
